league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot_1,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_pk,standard_pkatt
ENG-Premier League,2425,Newcastle,Jacob Murphy,ENG,"FW,MF",29.0,1995.0,26.2,8,43,15,34.9,1.64,0.57,0.19,0.53,0,0
ENG-Premier League,2425,Newcastle,Joe Willock,ENG,MF,24.0,1999.0,12.1,0,18,3,16.7,1.49,0.25,0.0,0.0,0,0
ENG-Premier League,2425,Newcastle,Joelinton,BRA,"MF,FW",27.0,1996.0,26.6,4,45,14,31.1,1.69,0.53,0.09,0.29,0,0
ENG-Premier League,2425,Newcastle,Kieran Trippier,ENG,DF,33.0,1990.0,14.5,0,4,0,0.0,0.28,0.0,0.0,,0,0
ENG-Premier League,2425,Newcastle,Lewis Hall,ENG,DF,19.0,2004.0,24.3,0,11,1,9.1,0.45,0.04,0.0,0.0,0,0
ENG-Premier League,2425,Newcastle,Lewis Miley,ENG,MF,18.0,2006.0,3.5,1,3,2,66.7,0.86,0.58,0.33,0.5,0,0
ENG-Premier League,2425,Newcastle,Lloyd Kelly,ENG,DF,25.0,1998.0,3.4,0,3,0,0.0,0.89,0.0,0.0,,0,0
ENG-Premier League,2425,Newcastle,Martin Dúbravka,SVK,GK,35.0,1989.0,10.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Newcastle,Matt Targett,ENG,"DF,MF",28.0,1995.0,0.2,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Newcastle,Miguel Almirón,PAR,FW,30.0,1994.0,1.7,0,6,2,33.3,3.44,1.15,0.0,0.0,0,0
ENG-Premier League,2425,Newcastle,Nick Pope,ENG,GK,32.0,1992.0,28.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Newcastle,Sandro Tonali,ITA,MF,24.0,2000.0,29.2,4,35,12,34.3,1.2,0.41,0.11,0.33,0,0
ENG-Premier League,2425,Newcastle,Sean Longstaff,ENG,MF,26.0,1997.0,8.9,0,6,1,16.7,0.68,0.11,0.0,0.0,0,0
ENG-Premier League,2425,Newcastle,Sven Botman,NED,DF,24.0,2000.0,4.6,0,5,2,40.0,1.09,0.44,0.0,0.0,0,0
ENG-Premier League,2425,Newcastle,Tino Livramento,ENG,DF,21.0,2002.0,31.6,0,6,2,33.3,0.19,0.06,0.0,0.0,0,0
