league,season,team,player,nation,pos,age,born,90s,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26.0,1998.0,25.0,,,,,,,31,,,,,,,,
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20.0,2004.0,16.1,,,,,,,16,,,,,,,,
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,27.0,1996.0,32.4,,,,,,,19,,,,,,,,
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,MF,18.0,2006.0,0.5,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29.0,1995.0,9.9,,,,,,,2,,,,,,,,
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21.0,2002.0,36.0,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23.0,2001.0,1.1,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20.0,2004.0,7.6,,,,,,,29,,,,,,,,
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20.0,2004.0,29.6,,,,,,,9,,,,,,,,
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,33.0,1990.0,23.5,,,,,,,3,,,,,,,,
ENG-Premier League,2425,Brighton,Diego Gómez,PAR,MF,21.0,2003.0,5.7,,,,,,,11,,,,,,,,
ENG-Premier League,2425,Brighton,Eiran Cashin,IRL,DF,22.0,2001.0,0.2,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,19.0,2004.0,2.7,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",24.0,1999.0,4.3,,,,,,,9,,,,,,,,
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",22.0,2002.0,18.4,,,,,,,9,,,,,,,,
ENG-Premier League,2425,Brighton,Harry Howell,ENG,MF,16.0,2008.0,0.1,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26.0,1998.0,10.7,,,,,,,4,,,,,,,,
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19.0,2005.0,20.5,,,,,,,28,,,,,,,,
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25.0,1999.0,0.1,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38.0,1986.0,1.9,,,,,,,8,,,,,,,,
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24.0,2000.0,32.9,,,,,,,11,,,,,,,,
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33.0,1990.0,2.0,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22.0,2002.0,0.1,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",22.0,2001.0,21.6,,,,,,,22,,,,,,,,
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32.0,1992.0,18.9,,,,,,,24,,,,,,,,
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,MF,20.0,2004.0,3.3,,,,,,,20,,,,,,,,
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,MF,27.0,1997.0,28.9,,,,,,,72,,,,,,,,
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,32.0,1991.0,23.1,,,,,,,5,,,,,,,,
