league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,90s,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,playing_time_90s
ITA-Serie A,2526,Inter,Raffaele Di Gennaro,ITA,GK,31.0,1993.0,1,0,10,0.1,1,9.0,2,1,50.0,0.0,0.0,0.0,0,,0,0,0,0,,
ITA-Serie A,2526,Inter,Yann Sommer,SUI,GK,36.0,1988.0,33,33,2960,32.9,30,0.91,95,64,68.4,23.0,5.0,5.0,15,45.5,4,4,0,0,0.0,
ITA-Serie A,2526,Juventus,Mattia Perin,ITA,GK,32.0,1992.0,9,9,765,8.5,9,1.06,22,13,59.1,4.0,3.0,2.0,3,33.3,0,0,0,0,,
ITA-Serie A,2526,Juventus,Michele Di Gregorio,ITA,GK,28.0,1997.0,30,29,2655,29.5,25,0.85,86,60,70.9,15.0,9.0,5.0,14,48.3,3,1,0,2,0.0,
ITA-Serie A,2526,Lazio,Alessio Furlanetto,ITA,GK,23.0,2002.0,2,2,180,2.0,3,1.5,10,7,70.0,1.0,0.0,1.0,0,0.0,0,0,0,0,,
ITA-Serie A,2526,Lazio,Edoardo Motta,ITA,GK,20.0,2005.0,9,9,810,9.0,10,1.11,32,22,68.8,5.0,2.0,2.0,3,33.3,1,0,1,0,100.0,
ITA-Serie A,2526,Lazio,Ivan Provedel,ITA,GK,31.0,1994.0,27,27,2430,27.0,27,1.0,116,87,76.7,8.0,10.0,9.0,12,44.4,4,3,1,0,25.0,
ITA-Serie A,2526,Lecce,Wladimiro Falcone,ITA,GK,30.0,1995.0,38,38,3420,38.0,50,1.32,158,108,68.4,10.0,8.0,20.0,10,26.3,6,4,2,0,33.3,
ITA-Serie A,2526,Milan,Mike Maignan,FRA,GK,30.0,1995.0,37,37,3295,36.6,35,0.96,141,106,75.2,19.0,10.0,8.0,14,37.8,8,5,2,1,28.6,
ITA-Serie A,2526,Milan,Pietro Terracciano,ITA,GK,35.0,1990.0,2,1,125,1.4,0,0.0,4,4,100.0,1.0,0.0,0.0,2,200.0,0,0,0,0,,
ITA-Serie A,2526,Napoli,Alex Meret,ITA,GK,28.0,1997.0,11,11,979,10.9,12,1.1,33,21,63.6,9.0,0.0,2.0,4,36.4,2,2,0,0,0.0,
ITA-Serie A,2526,Napoli,Nikita Contini,ITA,GK,29.0,1996.0,1,0,11,0.1,0,0.0,0,0,,0.0,0.0,0.0,1,,0,0,0,0,,
ITA-Serie A,2526,Napoli,Vanja Milinković-Savić,SRB,GK,28.0,1997.0,27,27,2430,27.0,24,0.89,77,52,68.8,14.0,7.0,6.0,11,40.7,8,5,3,0,37.5,
ITA-Serie A,2526,Parma,Edoardo Corvi,ITA,GK,24.0,2001.0,17,17,1530,17.0,18,1.06,63,44,71.4,8.0,4.0,5.0,7,41.2,3,3,0,0,0.0,
ITA-Serie A,2526,Parma,Filippo Rinaldi,ITA,GK,22.0,2002.0,1,1,90,1.0,0,0.0,4,4,100.0,0.0,1.0,0.0,1,100.0,0,0,0,0,,
ITA-Serie A,2526,Parma,Zion Suzuki,JPN,GK,22.0,2002.0,20,20,1800,20.0,28,1.4,93,65,69.9,3.0,7.0,10.0,5,25.0,3,2,1,0,33.3,
ITA-Serie A,2526,Pisa,Adrian Šemper,CRO,GK,27.0,1998.0,25,25,2250,25.0,42,1.68,124,82,66.1,1.0,9.0,15.0,4,16.0,2,2,0,0,0.0,
ITA-Serie A,2526,Pisa,Nícolas Andrade,BRA,GK,37.0,1988.0,6,6,540,6.0,14,2.33,26,12,46.2,1.0,0.0,5.0,0,0.0,1,0,0,1,,
ITA-Serie A,2526,Pisa,Simone Scuffet,ITA,GK,29.0,1996.0,7,7,630,7.0,15,2.14,29,14,48.3,0.0,3.0,4.0,1,14.3,3,3,0,0,0.0,
