season,competition,date,team,player,xg,x,y,situation,body_part,outcome,minute,source
2425,La Liga,2024-08-31 15:00:00,Barcelona,Pau Cubarsí,0.0634263232350349,92.09999847412108,48.79999923706055,From Corner,,missed,46,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Raphinha,0.1175016239285469,90.0,55.79999923706055,Open Play,Left Foot,blocked,3,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Raphinha,0.0267905425280332,76.19999694824219,52.79999923706055,Open Play,Left Foot,saved,9,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Raphinha,0.3083865940570831,91.1999969482422,43.09999847412109,Open Play,Left Foot,goal,19,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Raphinha,0.4759334921836853,90.80000305175781,61.0999984741211,Open Play,Left Foot,saved,54,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Raphinha,0.6885185241699219,96.8000030517578,53.79999923706055,Open Play,Left Foot,goal,63,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Raphinha,0.6527318358421326,90.9000015258789,53.400001525878906,Open Play,Left Foot,goal,71,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Robert Lewandowski,0.0829405784606933,97.0,60.29999923706054,Open Play,Left Foot,missed,3,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Robert Lewandowski,0.0563793703913688,81.5999984741211,53.400001525878906,Open Play,Right Foot,saved,13,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Robert Lewandowski,0.1193411648273468,94.8000030517578,52.400001525878906,Set Piece,,blocked,16,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Robert Lewandowski,0.3572301864624023,86.9000015258789,57.599998474121094,Open Play,Left Foot,goal,23,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Robert Lewandowski,0.1399091184139251,80.30000305175781,49.0,Direct Freekick,Right Foot,blocked,45,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Robert Lewandowski,0.2526031136512756,93.90000152587892,33.29999923706054,Open Play,Right Foot,post,56,understat
2425,La Liga,2024-08-31 15:00:00,Real Valladolid,Kike Pérez,0.0989784598350524,87.0999984741211,45.79999923706054,Open Play,Right Foot,missed,25,understat
2425,La Liga,2024-08-31 15:00:00,Real Valladolid,Raul Moro,0.2911761701107025,95.0,64.5999984741211,Open Play,Right Foot,saved,36,understat
2425,La Liga,2024-08-31 15:00:00,Real Valladolid,Raul Moro,0.0131497057154774,75.5999984741211,74.5,Open Play,Right Foot,blocked,78,understat
2425,La Liga,2024-08-31 15:00:00,Real Valladolid,Raul Moro,0.0191882364451885,78.69999694824219,65.5999984741211,Open Play,Right Foot,missed,78,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Dani Olmo,0.1235633343458175,96.5,29.799999237060547,Open Play,Right Foot,goal,46,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Hector Fort,0.0180027838796377,72.5,38.5,Open Play,Right Foot,missed,65,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Iñigo Martínez,0.0351174846291542,80.5999984741211,55.50000000000001,From Corner,Left Foot,blocked,11,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Jules Koundé,0.0275516510009765,88.80000305175781,27.39999961853027,Open Play,Right Foot,missed,25,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Lamine Yamal,0.072391852736473,86.80000305175781,37.70000076293945,Open Play,Left Foot,saved,5,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Lamine Yamal,0.4145822823047638,90.1999969482422,57.29999923706055,Open Play,Left Foot,goal,29,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Lamine Yamal,0.065223105251789,84.4000015258789,45.400001525878906,Set Piece,Left Foot,goal,36,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Lamine Yamal,0.1019189357757568,84.69999694824219,36.0,Open Play,Left Foot,saved,57,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Lamine Yamal,0.0419332087039947,80.69999694824219,33.29999923706054,Open Play,Left Foot,missed,71,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Marc Casadó,0.0160370431840419,73.5999984741211,44.20000076293945,From Corner,Right Foot,missed,58,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Pau Victor,0.0887601599097251,92.6999969482422,66.0,Open Play,Right Foot,blocked,69,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Pau Victor,0.0887742936611175,82.5999984741211,60.90000152587891,Open Play,Right Foot,missed,82,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Pau Victor,0.1355976462364196,87.9000015258789,35.700000762939446,Open Play,Right Foot,saved,93,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Pedri,0.5723431706428528,95.5999984741211,57.900001525878906,Open Play,Left Foot,goal,63,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Raphinha,0.0107010118663311,48.200000762939446,59.099998474121094,Open Play,Left Foot,missed,41,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Robert Lewandowski,0.0411420501768589,87.9000015258789,51.59999847412109,From Corner,,saved,15,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Robert Lewandowski,0.5311776995658875,91.1999969482422,52.09999847412109,Open Play,Left Foot,saved,55,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Robert Lewandowski,0.1075811609625816,82.0,55.400001525878906,Open Play,Right Foot,missed,59,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Álex Balde,0.037704300135374,90.80000305175781,75.69999694824219,Open Play,Left Foot,missed,22,understat
2425,La Liga,2024-09-15 14:15:00,Barcelona,Álex Balde,0.0634935945272445,90.1999969482422,65.69999694824219,Open Play,Left Foot,missed,29,understat
2425,La Liga,2024-09-15 14:15:00,Girona,Abel Ruiz,0.0811097845435142,93.1999969482422,57.20000076293945,Open Play,Right Foot,missed,49,understat
2425,La Liga,2024-09-15 14:15:00,Girona,Alejandro Francés,0.0184939838945865,78.80000305175781,30.0,Open Play,Right Foot,blocked,41,understat
2425,La Liga,2024-09-15 14:15:00,Girona,Bryan Gil Salvatierra,0.023484906181693,84.4000015258789,25.20000076293945,Open Play,Left Foot,saved,34,understat
2425,La Liga,2024-09-15 14:15:00,Girona,Bryan Gil Salvatierra,0.3202249407768249,91.9000015258789,49.79999923706055,Open Play,Left Foot,saved,43,understat
2425,La Liga,2024-09-15 14:15:00,Girona,Cristhian Stuani,0.492555171251297,92.59999847412108,47.4000015258789,Open Play,Right Foot,goal,79,understat
2425,La Liga,2024-09-15 14:15:00,Girona,Cristhian Stuani,0.0577910952270031,88.80000305175781,42.9000015258789,Open Play,Right Foot,missed,88,understat
2425,La Liga,2024-09-15 14:15:00,Girona,Donny van de Beek,0.0468229763209819,89.80000305175781,62.70000076293945,Open Play,Right Foot,blocked,88,understat
2425,La Liga,2024-09-15 14:15:00,Girona,Miguel Gutiérrez,0.0365502499043941,79.19999694824219,40.5,Open Play,Left Foot,saved,16,understat
2425,La Liga,2024-09-15 14:15:00,Girona,Viktor Tsygankov,0.0186434797942638,85.69999694824219,24.29999923706054,Open Play,Left Foot,missed,62,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Eric Garcia,0.0163489487022161,91.09999847412108,59.299999237060554,From Corner,,blocked,34,understat
