,,,,nation,pos,age,Club,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Australia,Lucas Herrington,Australia,DF,18,1. Colorado Rapids,2007,2,2,210,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Mathew Leckie,Australia,MF,35,1. Melb City,1991,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Mathew Ryan,Australia,GK,34,1. Levante,1992,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Mo Touré,Australia,FW,22,2. Norwich City,2004,3,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Nestory Irankunda,Australia,"FW,MF",20,2. Watford,2006,4,3,261,2.9,1,0,1,1,0,0,0,0,0.34,0.0,0.34,0.34,0.34
INT-World Cup,2026,Australia,Nishan Velupillay,Australia,MF,25,1. Melb. Victory,2001,2,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Patrick Beach,Australia,GK,22,1. Melb City,2003,4,4,388,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Paul Okon-Engstler,Australia,MF,21,1. Sydney FC,2005,4,2,197,2.2,0,1,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46
INT-World Cup,2026,Australia,Tete Yengi,Australia,FW,25,1. Machida Zelvia,2000,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Alexander Prass,Austria,"DF,MF",25,1. Hoffenheim,2001,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Alexander Schlager,Austria,GK,30,1. RB Salzburg,1996,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Carney Chukwuemeka,Austria,MF,22,1. Dortmund,2003,3,0,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,David Alaba,Austria,DF,33,1. Real Madrid,1992,4,4,275,3.1,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33
INT-World Cup,2026,Austria,Florian Grillitsch,Austria,"DF,MF",30,1. Braga,1995,2,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Kevin Danso,Austria,DF,27,1. Tottenham,1998,4,2,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Konrad Laimer,Austria,"MF,DF",29,1. Bayern Munich,1997,4,4,360,4.0,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25
INT-World Cup,2026,Austria,Marcel Sabitzer,Austria,MF,32,1. Dortmund,1994,4,4,360,4.0,1,0,1,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25
INT-World Cup,2026,Austria,Marco Friedl,Austria,DF,28,1. Werder Bremen,1998,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Marko Arnautović,Austria,FW,37,1. Red Star,1989,4,1,144,1.6,2,0,2,1,1,1,1,0,1.25,0.0,1.25,0.62,0.62
INT-World Cup,2026,Austria,Michael Gregoritsch,Austria,FW,32,1. Augsburg,1994,3,2,188,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48
INT-World Cup,2026,Austria,Nicolas Seiwald,Austria,MF,25,1. RB Leipzig,2001,4,4,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Patrick Wimmer,Austria,"FW,MF",25,1. Wolfsburg,2001,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Paul Wanner,Austria,MF,20,1. PSV,2005,4,2,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Philipp Lienhart,Austria,DF,29,1. Freiburg,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Phillipp Mwene,Austria,DF,32,1. Mainz 05,1994,2,2,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Romano Schmid,Austria,"MF,FW",26,1. Werder Bremen,2000,4,4,263,2.9,1,0,1,1,0,0,0,0,0.34,0.0,0.34,0.34,0.34
INT-World Cup,2026,Austria,Saša Kalajdžić,Austria,FW,28,1. LASK,1997,3,1,77,0.9,1,0,1,1,0,0,0,0,1.17,0.0,1.17,1.17,1.17
INT-World Cup,2026,Austria,Stefan Posch,Austria,DF,29,1. Mainz 05,1997,4,4,331,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Xaver Schlager,Austria,MF,28,1. RB Leipzig,1997,4,4,238,2.6,0,1,1,0,0,0,0,0,0.0,0.38,0.38,0.0,0.38
INT-World Cup,2026,Belgium,Alexis Saelemaekers,Belgium,MF,26,1. Milan,1999,4,1,83,0.9,1,0,1,1,0,0,0,0,1.08,0.0,1.08,1.08,1.08
INT-World Cup,2026,Belgium,Amadou Onana,Belgium,MF,24,1. Aston Villa,2001,4,2,106,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Arthur Theate,Belgium,DF,26,1. Frankfurt,2000,3,2,228,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Axel Witsel,Belgium,"DF,MF",37,1. Girona,1989,2,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Brandon Mechele,Belgium,DF,33,1. Club Brugge,1993,6,6,570,6.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Charles De Ketelaere,Belgium,"FW,MF",25,1. Atalanta,2001,5,5,350,3.9,3,1,4,3,0,0,0,0,0.77,0.26,1.03,0.77,1.03
INT-World Cup,2026,Belgium,Diego Moreira,Belgium,MF,21,1. Strasbourg,2004,1,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Dodi Lukebakio,Belgium,MF,28,1. Benfica,1997,3,1,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Hans Vanaken,Belgium,MF,33,1. Club Brugge,1992,6,3,319,3.5,1,2,3,1,0,0,0,0,0.28,0.56,0.85,0.28,0.85
INT-World Cup,2026,Belgium,Jeremy Doku,Belgium,MF,24,1. Manchester City,2002,5,4,309,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Joaquin Seys,Belgium,DF,21,1. Club Brugge,2005,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Kevin De Bruyne,Belgium,MF,34,1. Napoli,1991,5,5,382,4.2,1,0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24
INT-World Cup,2026,Belgium,Leandro Trossard,Belgium,"MF,FW",31,1. Arsenal,1994,6,6,506,5.6,2,2,4,2,0,0,0,0,0.36,0.36,0.71,0.36,0.71
INT-World Cup,2026,Belgium,Matias Fernandez-Pardo,Belgium,"FW,MF",21,1. Lille,2005,3,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Maxim De Cuyper,Belgium,DF,25,1. Brighton,2000,6,5,442,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Nathan Ngoy,Belgium,DF,23,1. Lille,2003,4,4,335,3.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Nicolas Raskin,Belgium,MF,25,1. Rangers,2001,6,3,341,3.8,0,2,2,0,0,0,0,0,0.0,0.53,0.53,0.0,0.53
INT-World Cup,2026,Belgium,Romelu Lukaku,Belgium,FW,33,1. Napoli,1993,6,1,233,2.6,3,1,4,3,0,0,1,0,1.16,0.39,1.55,1.16,1.55
INT-World Cup,2026,Belgium,Senne Lammens,Belgium,GK,23,1. Manchester Utd,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Thibaut Courtois,Belgium,GK,34,1. Real Madrid,1992,6,6,550,6.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Thomas Meunier,Belgium,DF,34,1. Lille,1991,3,2,190,2.1,0,1,1,0,0,0,0,0,0.0,0.47,0.47,0.0,0.47
INT-World Cup,2026,Belgium,Timothy Castagne,Belgium,DF,30,1. Fulham,1995,6,5,478,5.3,0,1,1,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19
INT-World Cup,2026,Belgium,Youri Tielemans,Belgium,MF,29,1. Aston Villa,1997,5,5,474,5.3,2,0,2,1,1,1,0,0,0.38,0.0,0.38,0.19,0.19
INT-World Cup,2026,Bosnia–Herz,Amar Dedić,Bosnia–Herz,DF,23,1. Benfica,2002,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Amar Memić,Bosnia–Herz,MF,25,1. Viktoria Plzeň,2001,4,2,224,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Amir Hadžiahmetović,Bosnia–Herz,MF,29,2. Hull City,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Arjan Malic,Bosnia–Herz,DF,20,1. Sturm Graz,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Armin Gigovic,Bosnia–Herz,MF,24,1. Young Boys,2002,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Benjamin Tahirovic,Bosnia–Herz,MF,23,1. Brøndby,2003,4,2,237,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Dennis Hadžikadunić,Bosnia–Herz,DF,27,2. Sampdoria,1998,1,0,27,0.3,0,1,1,0,0,0,0,0,0.0,3.33,3.33,0.0,3.33
INT-World Cup,2026,Bosnia–Herz,Dženis Burnić,Bosnia–Herz,MF,28,2. Karlsruher,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Edin Džeko,Bosnia–Herz,FW,40,2. Schalke 04,1986,3,3,176,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Ermedin Demirović,Bosnia–Herz,FW,28,1. Stuttgart,1998,4,4,354,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Ermin Mahmić,Bosnia–Herz,MF,21,1. Slovan Liberec,2005,3,0,68,0.8,2,0,2,2,0,0,1,0,2.65,0.0,2.65,2.65,2.65
