league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Eray Cömert,4,2024,27012,231,10382,DC,3,90,0,0,0,0.0,0.2911761701107025,0.2911761701107025,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Iván Sánchez,4,2024,27012,231,4169,MR,8,65,0,0,0,0.0,0.2911761701107025,0.2911761701107025,0,0.2911761701107025,1,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Javi Sánchez,4,2024,27012,231,7245,DC,3,90,0,0,0,0.0,0.3043258786201477,0.3043258786201477,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Juan Latasa,4,2024,27012,231,10399,Sub,17,31,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Karl Hein,4,2024,27012,231,9692,GK,1,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Kike Pérez,4,2024,27012,231,8470,MC,9,90,0,0,1,0.09897845983505249,0.390154629945755,0.2911761701107025,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Lucas Rosa,4,2024,27012,231,11147,DL,4,90,0,0,0,0.0,0.2911761701107025,0.2911761701107025,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Luis Pérez,4,2024,27012,231,8762,DR,2,90,0,0,0,0.0,0.3043258786201477,0.3043258786201477,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Marcos de Sousa,4,2024,27012,231,8933,FW,15,59,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Mario Martín,4,2024,27012,231,11349,Sub,17,25,0,0,0,0.0,0.0,0.0,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Raul Moro,4,2024,27012,231,8584,ML,10,90,0,0,3,0.32351410388946533,0.4224925637245178,0.0,0,0.09897845983505249,1,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Selim Amallah,4,2024,27012,231,11379,MC,9,60,0,0,0,0.0,0.09897845983505249,0.09897845983505249,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Stanko Juric,4,2024,27012,231,12894,DMC,7,90,0,0,0,0.0,0.2911761701107025,0.2911761701107025,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Víctor Meseguer,4,2024,27012,231,12895,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
