,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Real Betis,Adrián,ESP,GK,38.0,1987.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Real Betis,Pau López,ESP,GK,30.0,1994.0,9.0,11,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Real Betis,Álvaro Vallés,ESP,GK,28.0,1997.0,28.0,36,4,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Real Madrid,Andriy Lunin,UKR,GK,26.0,1999.0,6.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Real Madrid,Thibaut Courtois,BEL,GK,33.0,1992.0,32.0,28,4,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Real Sociedad,Unai Marrero,ESP,GK,23.0,2001.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Real Sociedad,Álex Remiro,ESP,GK,30.0,1995.0,37.0,60,5,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Sevilla,Odysseas Vlachodimos,GRE,GK,31.0,1994.0,33.0,52,8,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Sevilla,Ørjan Nyland,NOR,GK,34.0,1990.0,5.0,8,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Valencia,Julen Agirrezabala,ESP,GK,24.0,2000.0,18.0,30,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Valencia,Stole Dimitrievski,MKD,GK,31.0,1993.0,20.0,25,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Villarreal,Arnau Tenas,ESP,GK,24.0,2001.0,10.0,16,2,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Villarreal,Luiz Lúcio Reis Júnior,BRA,GK,24.0,2001.0,28.0,30,5,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Angers,Melvin Zinga,FRA,GK,22.0,2002.0,1.0,2,1,,,,,,,,,,,,,,,,,,,,,,,
